Date	Site	String/Zone	Max	Min	Range	#ofSpat	Avg Size	#Animals
7/14/2022	925LGN	3B	12.38	2.73	9.65	27	6.194814815	
7/14/2022						673		
7/14/2022	440GLY	1T				1	2.79	
7/14/2022	440GLY	1M	3.55	2.8	0.75	2	3.175	
7/14/2022	440GLY	2M	2.33	1.69	0.64	3	1.93	
7/14/2022	440GLY	2B	3.5	0.98	2.52	4	2.43	
7/14/2022	440GLY	3T				1	3.05	
7/14/2022						11		
7/14/2022	990 BCH	1T	6.59	2.1	4.49	54	3.968888889	1
7/14/2022	990 BCH	1M	10.61	2.26	8.35	54	4.770740741	
7/14/2022	990 BCH	1B	10.69	2.96	7.73	16	6.2175	
7/14/2022	990 BCH	2T	7.71	2.43	5.28	5	4.286	2
7/14/2022	990 BCH	2M	5.83	2.5	3.33	17	3.864705882	
7/14/2022	990 BCH	2B	9.42	1.07	8.35	62	4.086935484	
7/14/2022	990 BCH	3T	10.94	3.03	7.91	46	4.97826087	
7/14/2022	990 BCH	3M	9.93	2.37	7.56	8	5.77625	
7/14/2022	990 BCH	3B				1	5.47	
7/14/2022						263		
7/14/2022	918 LMT	1T	12.11	1.74	10.37	60	5.302333333	
7/14/2022	918 LMT	1M	13.4	1.65	11.75	86	6.367325581	
7/14/2022	918 LMT	1B	21.04	1.17	19.87	119	6.905210084	
7/14/2022	918 LMT	2T	10.57	1.16	9.41	75	4.604533333	1
7/14/2022	918 LMT	2M	12.38	1.3	11.08	63	4.72015873	
7/14/2022	918 LMT	2B	16.44	1.14	15.3	71	4.973239437	
7/14/2022	918 LMT	3T	12.03	2.14	9.89	36	4.8725	1
7/14/2022	918 LMT	3M	10.87	2.56	8.31	44	5.386136364	
7/14/2022	918 LMT	3B	11.56	2.74	8.82	43	5.76	
7/14/2022	425 LTH	1T	6.98	5.42	1.56	5	6.12	
7/14/2022	425 LTH	1M	9.44	2.9	6.54	13	6.277692308	
7/14/2022	425 LTH	1B	17.01	3.47	13.54	32	8.681875	
7/14/2022	425 LTH	2T			0	1	4.94	
7/14/2022	425 LTH	2M	9.64	2.65	6.99	7	6.105714286	
7/14/2022	425 LTH	2B	14.87	2.99	11.88	20	9.595	
7/14/2022	425 LTH	3T	18.35	3.14	15.21	22	8.785	
7/14/2022	425 LTH	3M	16.35	3.96	12.39	16	9.80125	
7/14/2022	425 LTH	3B	8.06	3.39	4.67	4	5.62	
7/15/2022	836 SDR	1T	14.23	2.49	11.74	74	6.334459459	2
7/15/2022	836 SDR	1M	17.55	3.2	14.35	71	7.781126761	
7/15/2022	836 SDR	1B	15.47	2.41	13.06	55	7.752181818	
7/15/2022	836 SDR	2T	11.52	1.49	10.03	83	5.251566265	6
7/15/2022	836 SDR	2M	15.28	1.09	14.19	118	6.618389831	
7/15/2022	836 SDR	2B	15.08	1.48	13.6	111	6.788288288	
7/15/2022	836 SDR	3T	11.28	1.24	10.04	78	4.629102564	1
7/15/2022	836 SDR	3M	17.33	1.78	15.55	66	6.690151515	
7/15/2022	836 SDR	3B	18.25	0.8	5.06	58	7.783965517	
7/15/2022						714		
7/15/2022	940 LGN	1T	5.06	3.7	1.36	8	4.2975	3
7/15/2022	940 LGN	1M	13.19	3.7	9.49	12	8.051666667	
7/15/2022	940 LGN	1B	14.47	3.08	11.39	11	7.472727273	
7/15/2022	940 LGN	2T	15.54	3.9	11.64	13	8.860769231	7
7/15/2022	940 LGN	2M	16.2	5.12	11.08	13	9.14	
7/15/2022	940 LGN	2B	8.42	3.79	4.63	5	6.368	
7/15/2022	940 LGN	3T	6.98	3.87	3.11	6	5.456666667	2
7/15/2022	940 LGN	3M	11.58	6.32	5.26	8	7.9625	
7/15/2022	940 LGN	3B	13.49	4.12	9.37	7	10.26714286	
7/15/2022						83		
7/15/2022	1063 SYM	1T	15.39	1.15	14.24	124	6.852580645	6
7/15/2022	1063 SYM	1M	18.03	1.87	16.16	246	7.458739837	
7/15/2022	1063 SYM	1B	23.12	2.11	21.01	131	7.591068702	
7/15/2022	1063 SYM	2T	13.92	2.79	11.13	114	7.064561404	1
7/15/2022	1063 SYM	2M	21.15	2.27	18.88	130	8.249	
7/15/2022	1063 SYM	2B	19.49	1.98	17.51	133	8.756315789	
7/15/2022	1063 SYM	3T	13.96	3.02	10.94	70	7.421571429	0
7/15/2022	1063 SYM	3M	21.8	4.2	17.6	85	8.605176471	
7/15/2022	1063 SYM	3B	12.52	2.23	10.29	28	7.105357143	
7/15/2022						1061		
7/15/2022	790 BCH	1T	7.56	4.33	3.23	3	6.213333333	0
7/15/2022	790 BCH	1M			0	0		
7/15/2022	790 BCH	1B			0	1	3.14	
7/15/2022	790 BCH	2T	10.99	2.87	8.12	9	7.057777778	0
7/15/2022	790 BCH	2M	8.75	3.31	5.44	9	5.603333333	
7/15/2022	790 BCH	2B	5.46	2.64	2.82	6	4.156666667	
7/15/2022	790 BCH	3T	10.02	5.68	4.34	4	7.285	3
7/15/2022	790 BCH	3M			0	0		
7/15/2022	790 BCH	3B	7.47	7.44	0.03	2	7.455	
7/15/2022	461 LTH	1T	20.68	1.98	18.7	33	8.637575758	
7/15/2022	461 LTH	1M	17.15	4.66	12.49	23	8.587826087	
7/15/2022	461 LTH	1B	20.97	5.85	15.12	16	12.164375	
7/15/2022	461 LTH	2T	15.27	3.27	12	22	8.020909091	
7/15/2022	461 LTH	2M	18.36	3.84	14.52	22	9.805454545	
7/15/2022	461 LTH	2B	18.7	4.24	14.46	43	9.467906977	
7/15/2022	461 LTH	3T	12.65	2.94	9.71	4	6.785	
7/15/2022	461 LTH	3M	7.6	2.87	4.73	10	5.769	
7/15/2022	461 LTH	3B	18.13	5.04	13.09	25	10.012	
7/28/2022	990 BCH	1T	21.43	3.12	18.31	99	10.30982828	0
7/28/2022	990 BCH	1M	20.149	2.801	17.348	97	10.08806186	
7/28/2022	990 BCH	1B	22.356	2.457	19.899	60	9.041116667	
7/28/2022	990 BCH	2T	19.776	4.947	14.829	68	10.55333824	1
7/28/2022	990 BCH	2M	14.821	5.66	9.161	31	9.654580645	
7/28/2022	990 BCH	2B	12.17	2.595	9.575	3	6.122333333	
7/28/2022	990 BCH	3T	15.725	4.286	11.439	53	10.21309615	2
7/28/2022	990 BCH	3M	12.278	1.96	10.318	15	7.740666667	
7/28/2022	990 BCH	3B	12.14	2.214	9.926	3	5.893666667	
7/28/2022	925 LGN	1T	19.954	2.213	17.741	165	8.835757576	4
7/28/2022	925 LGN	1M	22.917	1.971	20.946	249	9.331228916	
7/28/2022	925 LGN	1B	21.193	2.011	19.182	137	9.234029197	
7/28/2022	925 LGN	2T	14.297	3.191	11.106	60	7.911733333	
7/28/2022	925 LGN	2M	18.375	2.519	15.856	151	7.996913907	
7/28/2022	925 LGN	2B	19.397	2.196	17.201	106	8.903386792	
7/28/2022	925 LGN	3T	14.367	2.711	11.656	130	9.551	1
7/28/2022	925 LGN	3M	17.155	3.689	13.466	91	9.110230769	
7/28/2022	925 LGN	3B	18.048	2.234	15.814	62	8.099709677	
7/28/2022	918 LMT	1T	17.286	2.331	14.955	87	7.778413793	3
7/28/2022	918 LMT	1M	20.432	2.686	17.746	110	8.983836364	
7/28/2022	918 LMT	1B	27.244	1.228	26.016	116	10.88512931	
7/28/2022	918 LMT	2T	13.304	1.989	11.315	77	6.138623377	2
7/28/2022	918 LMT	2M	15.154	2.454	12.7	63	7.173047619	
7/28/2022	918 LMT	2B	13.689	2.543	11.146	42	7.815190476	
7/28/2022	918 LMT	3T	20.192	2.232	17.96	35	6.666628571	5
7/28/2022	918 LMT	3M	13.328	2.606	10.722	34	6.909764706	
7/28/2022	918 LMT	3B	15.049	1.418	13.631	27	7.395185185	
7/28/2022	425 LTH	1T	13.25	4.87	8.38	8	8.694125	0
7/28/2022	425 LTH	1M	16.792	4.051	12.741	28	10.98585714	
7/28/2022	425 LTH	1B	24.959	2.969	21.99	58	12.14468966	
7/28/2022	425 LTH	2T	10.84	4.617	6.223	7	6.698714286	0
7/28/2022	425 LTH	2M	16.696	5.033	11.663	12	11.402	
7/28/2022	425 LTH	2B	22.498	6.484	16.014	19	13.96910526	
7/28/2022	425 LTH	3T	15.67	6.106	9.564	2	10.888	0
7/28/2022	425 LTH	3M	22.642	8.42	14.222	15	14.9884	
7/28/2022	425 LTH	3B	29.828	4.36	25.468	23	14.06747826	
7/28/2022	440 GLY	1T	5.733	5.733	0	1	5.733	2
7/28/2022	440 GLY	1M	3.567	0.028	3.539	2	1.7975	
7/28/2022	440 GLY	1B	8.031	2.182	5.849	6	5.678333333	
7/28/2022	440 GLY	2T	7.13	7.13	0	1	7.13	0
7/28/2022	440 GLY	2M	9.414	9.414	0	1	9.414	
7/28/2022	440 GLY	2B			0	1	7.245	
7/28/2022	440 GLY	3T			0	0		0
7/28/2022	440 GLY	3M			0	0		
7/28/2022	440 GLY	3B			0	1	4.517	
7/29/2022	790 BCH	1T	15.858	3.722	12.136	19	7.804947368	0
7/29/2022	790 BCH	1M	13.38	4.848	8.532	4	8.262	
7/29/2022	790 BCH	1B	11.33	3.817	7.513	4	6.74125	
7/29/2022	790 BCH	2T	18.51	6.813	11.697	5	12.6332	0
7/29/2022	790 BCH	2M	16.26	4.138	12.122	8	10.1155	
7/29/2022	790 BCH	2B	7.424	7.424	0	1	7.424	
7/29/2022	790 BCH	3T	9.419	4.26	5.159	10	6.5977	0
7/29/2022	790 BCH	3M	12.11	2.816	9.294	10	7.3782	
7/29/2022	790 BCH	3B	14.16	7.944	6.216	3	11.618	
7/29/2022	1063 SYM	1T	23.94	2.472	21.468	173	10.77947399	1
7/29/2022	1063 SYM	1M	23.78	2.431	21.349	291	10.56403436	
7/29/2022	1063 SYM	1B	27.212	1.9	25.312	159	9.421987421	
7/29/2022	1063 SYM	2T	21.536	4.246	17.29	108	10.27628704	0
7/29/2022	1063 SYM	2M	26.815	3.149	23.666	132	11.05790152	
7/29/2022	1063 SYM	2B	22.462	2.989	19.473	130	10.51407692	
7/29/2022	1063 SYM	3T	13.905	2.234	11.671	83	7.716096386	0
7/29/2022	1063 SYM	3M	19.928	2.885	17.043	120	8.83215	
7/29/2022	1063 SYM	3B	15.378	2.44	12.938	77	6.887090909	
7/29/2022	863 SDR	1T	22.975	1.507	21.468	182	9.090428571	0
7/29/2022	863 SDR	1M	22.2	2.672	19.528	150	10.42797333	
7/29/2022	863 SDR	1B	21.795	2.261	19.534	130	9.902030769	
7/29/2022	863 SDR	2T	17.565	2.303	15.262	111	8.650828829	4
7/29/2022	863 SDR	2M	19.2	2.894	16.306	149	10.14138255	
7/29/2022	863 SDR	2B	19.306	3.013	16.293	139	10.06560432	
7/29/2022	863 SDR	3T	17.243	2.725	14.518	82	8.213865854	2
7/29/2022	863 SDR	3M	19.721	3.271	16.45	84	9.299809524	
7/29/2022	863 SDR	3B	21.938	1.694	20.244	82	10.8459878	
7/29/2022	940 LGN	1T	15.95	3.857	12.093	52	8.3005	4
7/29/2022	940 LGN	1M	22.068	3.575	18.493	56	9.868232143	
7/29/2022	940 LGN	1B	28.536	1.98	26.556	54	10.2352963	
7/29/2022	940 LGN	2T	21.342	3.074	18.268	40	8.94875	2
7/29/2022	940 LGN	2M	18.758	3.394	15.364	57	10.77124561	
7/29/2022	940 LGN	2B	20.614	3.387	17.227	18	8.853833333	
7/29/2022	940 LGN	3T	14.205	2.564	11.641	26	7.621153846	6
7/29/2022	940 LGN	3M	18.289	5.723	12.566	31	10.33806452	
7/29/2022	940 LGN	3B	22.612	3.021	19.591	35	10.45985714	
7/29/2022	461 LTH	1T	22.383	1.575	20.808	34	9.992	0
7/29/2022	461 LTH	1M	25.514	3.72	21.794	42	11.85797619	
7/29/2022	461 LTH	1B	33.229	1.285	31.944	69	12.85552174	
7/29/2022	461 LTH	2T	24.201	2.887	21.314	24	11.09954167	0
7/29/2022	461 LTH	2M	25.432	5.5	19.932	23	12.2523913	
7/29/2022	461 LTH	2B	27.006	4.144	22.862	41	12.49563415	
7/29/2022	461 LTH	3T	12.92	3.768	9.152	5	7.0884	2
7/29/2022	461 LTH	3M	13.701	4.81	8.891	12	8.878416667	
7/29/2022	461 LTH	3B	25.794	4.501	21.293	43	11.91567442	
