"","Date","Site","String.Zone","Max","Min","Range","X.ofSpat","Avg.Size","X.Animals","mean_three_rows"
"320","7/29/2022","790 BCH","2M",16.26,4.138,12.122,8,10.1155,NA,NA
"321","7/29/2022","790 BCH","2B",7.424,7.424,0,1,7.424,NA,10.0575666666667
"322","7/29/2022","790 BCH","3T",9.419,4.26,5.159,10,6.5977,0,NA
"323","7/29/2022","790 BCH","3M",12.11,2.816,9.294,10,7.3782,NA,NA
"324","7/29/2022","790 BCH","3B",14.16,7.944,6.216,3,11.618,NA,8.5313
"325","7/29/2022","1063 SYM","1T",23.94,2.472,21.468,173,10.77947399,1,NA
"326","7/29/2022","1063 SYM","1M",23.78,2.431,21.349,291,10.56403436,NA,NA
"327","7/29/2022","1063 SYM","1B",27.212,1.9,25.312,159,9.421987421,NA,10.255165257
"328","7/29/2022","1063 SYM","2T",21.536,4.246,17.29,108,10.27628704,0,NA
"329","7/29/2022","1063 SYM","2M",26.815,3.149,23.666,132,11.05790152,NA,NA
"330","7/29/2022","1063 SYM","2B",22.462,2.989,19.473,130,10.51407692,NA,10.6160884933333
"331","7/29/2022","1063 SYM","3T",13.905,2.234,11.671,83,7.716096386,0,NA
"332","7/29/2022","1063 SYM","3M",19.928,2.885,17.043,120,8.83215,NA,NA
"333","7/29/2022","1063 SYM","3B",15.378,2.44,12.938,77,6.887090909,NA,7.81177909833333
"334","7/29/2022","863 SDR","1T",22.975,1.507,21.468,182,9.090428571,0,NA
"335","7/29/2022","863 SDR","1M",22.2,2.672,19.528,150,10.42797333,NA,NA
"336","7/29/2022","863 SDR","1B",21.795,2.261,19.534,130,9.902030769,NA,9.80681089
"337","7/29/2022","863 SDR","2T",17.565,2.303,15.262,111,8.650828829,4,NA
"338","7/29/2022","863 SDR","2M",19.2,2.894,16.306,149,10.14138255,NA,NA
"339","7/29/2022","863 SDR","2B",19.306,3.013,16.293,139,10.06560432,NA,9.61927189966667
"340","7/29/2022","863 SDR","3T",17.243,2.725,14.518,82,8.213865854,2,NA
"341","7/29/2022","863 SDR","3M",19.721,3.271,16.45,84,9.299809524,NA,NA
"342","7/29/2022","863 SDR","3B",21.938,1.694,20.244,82,10.8459878,NA,9.45322105933333
"343","7/29/2022","940 LGN","1T",15.95,3.857,12.093,52,8.3005,4,NA
"344","7/29/2022","940 LGN","1M",22.068,3.575,18.493,56,9.868232143,NA,NA
"345","7/29/2022","940 LGN","1B",28.536,1.98,26.556,54,10.2352963,NA,9.468009481
"346","7/29/2022","940 LGN","2T",21.342,3.074,18.268,40,8.94875,2,NA
"347","7/29/2022","940 LGN","2M",18.758,3.394,15.364,57,10.77124561,NA,NA
"348","7/29/2022","940 LGN","2B",20.614,3.387,17.227,18,8.853833333,NA,9.52460964766667
"349","7/29/2022","940 LGN","3T",14.205,2.564,11.641,26,7.621153846,6,NA
"350","7/29/2022","940 LGN","3M",18.289,5.723,12.566,31,10.33806452,NA,NA
"351","7/29/2022","940 LGN","3B",22.612,3.021,19.591,35,10.45985714,NA,9.47302516866667
"352","7/29/2022","461 LTH","1T",22.383,1.575,20.808,34,9.992,0,NA
"353","7/29/2022","461 LTH","1M",25.514,3.72,21.794,42,11.85797619,NA,NA
"354","7/29/2022","461 LTH","1B",33.229,1.285,31.944,69,12.85552174,NA,11.56849931
"355","7/29/2022","461 LTH","2T",24.201,2.887,21.314,24,11.09954167,0,NA
"356","7/29/2022","461 LTH","2M",25.432,5.5,19.932,23,12.2523913,NA,NA
"357","7/29/2022","461 LTH","2B",27.006,4.144,22.862,41,12.49563415,NA,11.94918904
"358","7/29/2022","461 LTH","3T",12.92,3.768,9.152,5,7.0884,2,NA
"359","7/29/2022","461 LTH","3M",13.701,4.81,8.891,12,8.878416667,NA,NA
"360","7/29/2022","461 LTH","3B",25.794,4.501,21.293,43,11.91567442,NA,9.29416369566667
