"","Date","Site","String.Zone","Max","Min","Range","X.ofSpat","Avg.Size","X.Animals","mean_three_rows"
"142","7/1/2022","836 SDR","3T",5.23,4.38,0.85,3,4.676666667,1,NA
"143","7/1/2022","836 SDR","3M",6.49,2.75,3.74,14,4.433571429,NA,NA
"144","7/1/2022","836 SDR","3B",11,2.46,8.54,29,5.325862069,NA,4.81203338833333
"145","7/1/2022","461 LTH","1T",5.42,2.66,2.76,3,4.37,1,NA
"146","7/1/2022","461 LTH","1M",9.12,3.83,5.29,6,6.273333333,NA,NA
"147","7/1/2022","461 LTH","1B",12.72,2.44,10.28,21,6.73952381,NA,5.79428571433333
"148","7/1/2022","461 LTH","2T",4.89,2.26,2.63,7,3.525714286,0,NA
"149","7/1/2022","461 LTH","2M",10.1,2.87,7.23,7,5.924285714,NA,NA
"150","7/1/2022","461 LTH","2B",8.94,1.85,7.09,16,4.6275,NA,4.6925
"151","7/1/2022","461 LTH","3T",NA,NA,0,1,2.48,0,NA
"152","7/1/2022","461 LTH","3M",5.16,2.96,2.2,3,3.866666667,NA,NA
"153","7/1/2022","461 LTH","3B",11.25,2.4,8.85,13,4.571538462,NA,3.63940170966667
"154","7/1/2022","940LGN","1T",NA,NA,NA,0,NA,3,NA
"155","7/1/2022","940LGN","1M",5.95,4.22,1.73,4,5.315,NA,NA
"156","7/1/2022","940LGN","1B",7.14,5.25,1.89,2,6.195,NA,NA
"157","7/1/2022","940LGN","2T",6.9,1.73,5.17,12,4.249166667,3,NA
"158","7/1/2022","940LGN","2M",7.23,2.59,4.64,7,4.637142857,NA,NA
"159","7/1/2022","940LGN","2B",NA,NA,0,1,6.97,NA,5.285436508
"160","7/1/2022","940LGN","3T",NA,NA,0,0,NA,2,NA
"161","7/1/2022","940LGN","3M",NA,NA,0,1,5.54,NA,NA
"162","7/1/2022","940LGN","3B",6.68,2.84,3.84,8,5.31,NA,NA
"163","7/1/2022","790 BCH","1T",NA,NA,NA,0,NA,0,NA
"164","7/1/2022","790 BCH","1M",NA,NA,NA,0,NA,NA,NA
"165","7/1/2022","790 BCH","1B",6.49,3.58,2.91,3,5.326666667,NA,NA
"166","7/1/2022","790 BCH","2T",5.17,3.07,2.1,2,4.12,0,NA
"167","7/1/2022","790 BCH","2M",NA,NA,0,1,5.14,NA,NA
"168","7/1/2022","790 BCH","2B",NA,NA,0,0,NA,NA,NA
"169","7/1/2022","790 BCH","3T",NA,NA,0,0,NA,1,NA
"170","7/1/2022","790 BCH","3M",NA,NA,0,0,NA,NA,NA
"171","7/1/2022","790 BCH","3B",3.87,3.33,0.54,2,3.6,NA,NA
"172","7/1/2022","1063SYM","1T",10.3,1.28,9.02,82,3.493414634,2,NA
"173","7/1/2022","1063SYM","1M",8.98,1.5,7.48,82,4.749512195,NA,NA
"174","7/1/2022","1063SYM","1B",12.47,2.1,10.37,52,5.259038462,NA,4.500655097
"175","7/1/2022","1063SYM","2T",8.14,2.01,6.13,25,4.1844,0,NA
"176","7/1/2022","1063SYM","2M",15.3,1.61,13.69,48,5.874375,NA,NA
"177","7/1/2022","1063SYM","2B",11.66,2.42,9.24,35,6.075714286,NA,5.37816309533333
"178","7/1/2022","1063SYM","3T",7.79,1.62,6.17,51,4.087647059,0,NA
